"Latitude (decimal degrees):	51.790",,,,,Effiency,0.18,,,Date,EPV (kW),G_i (kW/m)
"Longitude (decimal degrees):	-1.393",,,,,Power loss,0.14,,,0101:0056,0,0
"Elevation (m):	73",,,,,Area,1.940352,,,0101:0156,0,0
"Radiation database:	PVGIS-CMSAF",,,,,,,,,0101:0256,0,0
,,,,,,,,,0101:0356,0,0
,,,,,,,,,0101:0456,0,0
Slope: 22,,,,,,,,,0101:0556,0,0
Azimuth: -5,,,,,,,,,0101:0656,0,0
"Nominal power of the PV system (crystalline silicon) (kWp):	0.35",,,,,,,,,0101:0756,0,0
"System losses (%):	 14.0",,,,,,,,,0101:0856,0.011692,0.051664
Date,EPV,G_i,As,Tamb,W10,int.,,,0101:0956,0.038562,0.137813
20070101:0056,0,0,0,7.6,9.03,0,,,0101:1056,0.051882,0.179279
20070101:0156,0,0,0,7.04,9.03,0,,,0101:1156,0.043832,0.153964
20070101:0256,0,0,0,6.48,9.03,0,,,0101:1256,0.050556,0.174929
20070101:0356,0,0,0,5.91,9.03,0,,,0101:1356,0.020403,0.078485
20070101:0456,0,0,0,5.68,8.79,0,,,0101:1456,0.020916,0.082779
20070101:0556,0,0,0,5.46,8.54,0,,,0101:1556,0.001287,0.010895
20070101:0656,0,0,0,5.23,8.29,0,,,0101:1656,0,0
20070101:0756,0,0,0,4.99,8.14,0,,,0101:1756,0,0
20070101:0856,22.59,93.02,4.13,4.75,8,0,,,0101:1856,0,0
20070101:0956,58.79,204.28,9.73,4.51,7.85,0,,,0101:1956,0,0
20070101:1056,123.64,406.4,13.51,5.45,7.81,0,,,0101:2056,0,0
20070101:1156,42.53,153.6,15.15,6.4,7.77,0,,,0101:2156,0,0
20070101:1256,128.96,426.75,14.49,7.34,7.72,0,,,0101:2256,0,0
20070101:1356,7.74,39.43,11.61,6.98,7.51,0,,,0101:2356,0,0
20070101:1456,39.96,149.87,6.75,6.62,7.29,0,,,0102:0056,0,0
20070101:1556,2.54,18.89,0.29,6.26,7.08,0,,,0102:0156,0,0
20070101:1656,0,0,0,5.82,6.74,0,,,0102:0256,0,0
20070101:1756,0,0,0,5.38,6.4,0,,,0102:0356,0,0
20070101:1856,0,0,0,4.94,6.07,0,,,0102:0456,0,0
20070101:1956,0,0,0,4.45,6.69,0,,,0102:0556,0,0
20070101:2056,0,0,0,3.96,7.32,0,,,0102:0656,0,0
20070101:2156,0,0,0,3.48,7.94,0,,,0102:0756,0,0
20070101:2256,0,0,0,3.37,7.93,0,,,0102:0856,0.022222,0.090098
20070101:2356,0,0,0,3.27,7.92,0,,,0102:0956,0.062683,0.21519
20070102:0056,0,0,0,3.16,7.9,0,,,0102:1056,0.07059,0.237664
20070102:0156,0,0,0,3.45,8.1,0,,,0102:1156,0.081164,0.272129
20070102:0256,0,0,0,3.74,8.29,0,,,0102:1256,0.068925,0.233291
20070102:0356,0,0,0,4.02,8.48,0,,,0102:1356,0.061059,0.209028
20070102:0456,0,0,0,4.11,8.67,0,,,0102:1456,0.039981,0.147387
20070102:0556,0,0,0,4.19,8.85,0,,,0102:1556,0.001847,0.013558
20070102:0656,0,0,0,4.27,9.03,0,,,0102:1656,0,0
20070102:0756,0,0,0,4.51,9.17,0,,,0102:1756,0,0
20070102:0856,21.26,88,4.16,4.75,9.3,0,,,0102:1856,0,0
20070102:0956,56.45,197.08,9.78,4.99,9.43,0,,,0102:1956,0,0
20070102:1056,121.16,397.79,13.57,5.82,9.68,0,,,0102:2056,0,0
