Day,Hour,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,All,% traffic compared to Nov,90.82787386,98.34519438,102.1061823,103.3639737,102.4820255,104.3643152,106.0335362,101.859683,102.9020244,102.9978241,100,90.82021647
1,00:56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,01:56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,02:56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,03:56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,04:56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,05:56,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
,06:56,9.082787386,9.834519438,10.21061823,10.33639737,10.24820255,10.43643152,10.60335362,10.1859683,10.29020244,10.29978241,10,9.082021647,9.082787386,,,,,,,,,,,,,
,07:56,86.28648017,93.42793466,97.00087319,98.19577502,97.35792423,99.14609944,100.7318594,96.76669885,97.75692318,97.8479329,95,86.27920565,86.28648017,,,,,,,,,,,,,
,08:56,186.1971414,201.6076485,209.3176737,211.8961461,210.0881523,213.9468462,217.3687492,208.8123502,210.94915,211.1455394,205,186.1814438,186.1971414,,,,,,,,,,,,,
,09:56,240.6938657,260.6147651,270.5813831,273.9145303,271.5773676,276.5654353,280.9888709,269.92816,272.6903647,272.9442339,265,240.6735736,240.6938657,,,,,,,,,,,,,
,10:56,261.5842767,283.2341598,294.065805,297.6882443,295.1482334,300.5692278,305.3765843,293.355887,296.3578303,296.6337334,288,261.5622234,261.5842767,,,,,,,,,,,,,
,11:56,207.5416918,224.7187692,233.3126266,236.1866799,234.1714283,238.4724602,242.2866302,232.7493757,235.1311258,235.3500281,228.5,207.5241946,207.5416918,,,,,,,,,,,,,
,12:56,137.6042289,148.9929695,154.6908662,156.5964202,155.2602686,158.1119375,160.6408073,154.3174197,155.896567,156.0417035,151.5,137.592628,137.6042289,,,,,,,,,,,,,
